# Sample Network Data for Enhanced Cyber Security Log Analyzer
# Format: timestamp,ipAddress,action,status

# Normal traffic
2024-07-07 08:00:01,192.168.1.1,HTTP GET /index.html,200
2024-07-07 08:00:02,192.168.1.100,HTTP POST to:192.168.1.1 /login,200
2024-07-07 08:00:03,192.168.1.50,HTTPS GET to:192.168.1.1 /dashboard,200
2024-07-07 08:00:04,10.0.0.1,HTTP GET to:192.168.1.1 /api/status,200
2024-07-07 08:00:05,192.168.1.200,HTTP POST to:192.168.1.1 /api/data,200

# Suspicious activity from external IPs
2024-07-07 08:01:01,345.67.89.10,HTTP POST to:192.168.1.1 /admin,403
2024-07-07 08:01:02,345.67.89.10,HTTP GET to:192.168.1.1 /admin/users,403
2024-07-07 08:01:03,345.67.89.10,HTTP POST to:192.168.1.1 /admin/login,401
2024-07-07 08:01:04,345.67.89.10,HTTP GET to:192.168.1.100 /backup,403
2024-07-07 08:01:05,345.67.89.10,HTTP POST to:192.168.1.50 /config,403

# Attack pattern - lateral movement
2024-07-07 08:02:01,789.12.34.56,HTTP POST to:192.168.1.1 /login,401
2024-07-07 08:02:02,789.12.34.56,HTTP POST to:192.168.1.1 /login,401
2024-07-07 08:02:03,789.12.34.56,HTTP POST to:192.168.1.1 /login,200
2024-07-07 08:02:04,789.12.34.56,HTTP GET to:192.168.1.100 /internal,200
2024-07-07 08:02:05,789.12.34.56,HTTP GET to:192.168.1.50 /files,200
2024-07-07 08:02:06,789.12.34.56,HTTP POST to:192.168.1.200 /upload,200

# Internal reconnaissance
2024-07-07 08:03:01,192.168.1.150,HTTP GET to:192.168.1.1 /admin,403
2024-07-07 08:03:02,192.168.1.150,HTTP GET to:192.168.1.100 /admin,403
2024-07-07 08:03:03,192.168.1.150,HTTP GET to:192.168.1.50 /admin,403
2024-07-07 08:03:04,192.168.1.150,HTTP GET to:192.168.1.200 /admin,403

# DDoS attempt
2024-07-07 08:04:01,111.222.333.44,HTTP GET to:192.168.1.1 /,503
2024-07-07 08:04:01,111.222.333.45,HTTP GET to:192.168.1.1 /,503
2024-07-07 08:04:01,111.222.333.46,HTTP GET to:192.168.1.1 /,503
2024-07-07 08:04:01,111.222.333.47,HTTP GET to:192.168.1.1 /,503
2024-07-07 08:04:01,111.222.333.48,HTTP GET to:192.168.1.1 /,503

# Backdoor communication (creates cycles)
2024-07-07 08:05:01,192.168.1.1,HTTP POST to:192.168.1.100 /sync,200
2024-07-07 08:05:02,192.168.1.100,HTTP POST to:192.168.1.50 /relay,200
2024-07-07 08:05:03,192.168.1.50,HTTP POST to:192.168.1.1 /callback,200
2024-07-07 08:05:04,192.168.1.1,HTTP POST to:192.168.1.100 /sync,200

# Data exfiltration
2024-07-07 08:06:01,192.168.1.100,HTTP GET to:192.168.1.1 /database/users,200
2024-07-07 08:06:02,192.168.1.100,HTTP GET to:192.168.1.1 /database/sensitive,200
2024-07-07 08:06:03,192.168.1.100,HTTP POST to:external.malicious.com /upload,200

# Normal maintenance activities
2024-07-07 08:07:01,192.168.1.254,HTTP GET to:192.168.1.1 /health,200
2024-07-07 08:07:02,192.168.1.254,HTTP GET to:192.168.1.100 /status,200
2024-07-07 08:07:03,192.168.1.254,HTTP GET to:192.168.1.50 /metrics,200
2024-07-07 08:07:04,192.168.1.254,HTTP POST to:192.168.1.1 /update,200

